Site,Latitude,Longitude,Altitude,Month,Season,Species,pH,TDS,EC,Alcalinite,PO4,NO3,Profondeur,Vegetation,Algues,Nature_fond,Count,Taux_infestation,total
Mawe Hai,0.712831173368352,3.4065718134956104,7.298918602379442,Octobre,Pluvieuse,Melanoides tuberculata,2.2082744135228043,6.022236205774735,6.608944848742513,4.49647076906475,1.791759469228055,0.7095125346462096,0.9042181506398859,Moyenne,Abondantes,Sableux,1.3862943611198906,1.791759469228055,4.48863636973214
Marché de Kituku,0.706056495634798,3.4067753292803804,7.302092029302457,Juin,Sèche,Lymnaea natalensis,2.064327903869788,6.217404185724193,6.794586580876499,3.9646154555473165,1.1092224677801252,0.47747564408443655,0.8919980393051105,Moyenne,Modérées,Sableux,0.6931471805599453,2.5572273113676265,4.174387269895637
Le chalet,0.6966076860980273,3.407960195532211,7.297226497335952,Novembre,Pluvieuse,Biomphalaria pfeifferi,2.130609828254235,6.014448383498357,6.652217659856923,4.251348311031766,0.530039842689795,1.2513333756857736,0.7884573603642702,Faible,Abondantes,Rocheux,1.6094379124341003,2.4336133554004498,3.58351893845611
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.291928651622679,Septembre,Pluvieuse,Lymnaea natalensis,2.1644717908644115,6.251711186373694,6.78083058540847,4.58700621536042,1.4569857892424236,1.0996117890011932,0.3435897043900769,Moyenne,Absentes,Vaseux,2.0794415416798357,2.186051276738094,3.7376696182833684
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.289132591561211,Octobre,Pluvieuse,Melanoides tuberculata,2.1938856760707046,6.062854543194655,6.596326812800355,4.422448549172797,1.2722854445080234,0.8060293376166179,0.3074846997479606,Faible,Absentes,Vaseux,1.3862943611198906,1.791759469228055,4.875197323201151
Centre Pallotin de Génézareth,0.7021867007113446,3.4068764916131298,7.291588086963188,Juillet,Sèche,Ceratophallus natalensis,2.180417459019838,5.9730459615839635,6.558765017801951,4.528289141652134,0.4206820739130248,1.187233480321638,0.8628899551470398,Faible,Modérées,Rocheux,1.0986122886681098,1.791759469228055,4.454347296253507
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.285575086269977,Juin,Sèche,Lymnaea natalensis,2.2192034840549946,5.791793351978915,6.376046444299722,4.455509411433685,0.4140944348062189,0.9809542451998773,0.9707789171582248,Forte,Abondantes,Vaseux,2.3978952727983707,1.791759469228055,4.6913478822291435
Marché de Kituku,0.706056495634798,3.4067753292803804,7.300742865579189,Juin,Sèche,Bulinus forskalii,2.200552367428894,6.020052003959894,6.62472901806655,4.478472532942134,0.4272265998896771,0.5900064216404319,1.095273387402595,Moyenne,Modérées,Vaseux,1.3862943611198906,2.6026896854443837,4.174387269895637
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.290565696525495,Novembre,Pluvieuse,Bellamya capillata,2.2407096892759584,5.888046587909494,6.497378126512952,4.542230386214217,0.6936470556015963,0.8432898389896648,1.1019400787607843,Forte,Modérées,Sableux,1.6094379124341003,1.791759469228055,4.844187086458591
Centre Pallotin de Génézareth,0.7021867007113446,3.4068764916131298,7.292405247376381,Juillet,Sèche,Lymnaea natalensis,2.150598735996164,5.951683677096137,6.48981264936286,3.970291913552122,0.7065568674698629,1.559827411880766,0.5766133643039938,Moyenne,Modérées,Sableux,1.6094379124341003,2.066862759472976,4.454347296253507
Mawe Hai,0.712831173368352,3.4065718134956104,7.303708626717706,Août,Sèche,Lymnaea natalensis,2.196112848483529,5.695414224985685,6.29156913955832,4.541164856012179,1.1700022847547826,1.1477198627751375,1.3812818192963463,Forte,Absentes,Sableux,3.5263605246161616,1.791759469228055,4.8283137373023015
Mawe Hai,0.712831173368352,3.4065718134956104,7.298918602379442,Septembre,Pluvieuse,Bellamya capillata,2.1471001901536506,6.10367653771491,6.653379025236829,4.300002799195291,1.0050339417085437,0.9951019122984449,1.3297240096314962,Moyenne,Modérées,Sableux,2.1972245773362196,1.791759469228055,4.718498871295094
Centre Pallotin de Génézareth,0.7021867007113446,3.4068764916131298,7.293901642703902,Octobre,Pluvieuse,Bulinus tropicus,2.209372711271867,6.0369158100119,6.591948042804508,4.321480134805848,0.4780957991430718,1.7277541392521427,0.7323678937132266,Moyenne,Abondantes,Rocheux,2.772588722239781,2.995732273553991,4.574710978503383
Plage du Peuple,0.6987658661412391,3.407702941213177,7.28660258918601,Novembre,Pluvieuse,Bulinus forskalii,2.179286876649552,5.953503040820864,6.537271139769218,4.430816798843313,0.7761087012742927,0.83116847845732,1.0188473201992472,Forte,Absentes,Sableux,2.70805020110221,2.7788192719904172,4.127134385045092
Mawe Hai,0.712831173368352,3.4065718134956104,7.3024290360120805,Octobre,Pluvieuse,Biomphalaria pfeifferi,2.1090003439213802,6.1349153295129435,6.67884513277359,4.476199804691132,1.2666658736643595,2.0582179052282092,0.9082585601768908,Faible,Absentes,Sableux,3.2188758248682006,3.077312260546414,4.48863636973214
Marché de Kituku,0.706056495634798,3.4067753292803804,7.303506694902662,Septembre,Pluvieuse,Bulinus forskalii,2.1598687907924505,5.786283696167945,6.328293862826008,4.034240638152395,0.750944279286162,1.014868295235149,0.8878912573524571,Forte,Modérées,Sableux,1.3862943611198906,3.2386784521643803,4.2626798770413155
Marché de Kituku,0.706056495634798,3.4067753292803804,7.303102708902016,Août,Sèche,Melanoides tuberculata,2.1815467646169897,6.311916280889189,6.847792937809454,4.548599834499697,0.6673164205254238,1.0416891412684888,0.4510756193602166,Moyenne,Abondantes,Vaseux,3.1354942159291497,1.791759469228055,4.663439094112067
Marché de Kituku,0.706056495634798,3.4067753292803804,7.295260061713309,Octobre,Pluvieuse,Melanoides tuberculata,2.1644717908644115,6.05818817915089,6.667974086514904,4.541164856012179,1.3501489144835375,1.3310458868894122,0.8197798314933114,Moyenne,Absentes,Vaseux,1.791759469228055,1.8082887711792655,4.663439094112067
Le chalet,0.6966076860980273,3.407960195532211,7.292337176173877,Juin,Sèche,Lymnaea natalensis,2.162172939277301,6.266061380011108,6.894467384655202,4.091005660956586,1.002101388287266,1.1948311464086525,0.688134638736401,Forte,Modérées,Vaseux,2.9444389791664403,1.791759469228055,4.663439094112067
Marché de Kituku,0.706056495634798,3.4067753292803804,7.287970952836851,Octobre,Pluvieuse,Bulinus tropicus,2.0769384114617173,6.388057076712548,6.909154299895844,3.8918202981106265,0.856116008838085,1.006862430058542,1.0647107369924282,Moyenne,Abondantes,Sableux,2.70805020110221,3.624340932976365,4.663439094112067
Le chalet,0.6966076860980273,3.407960195532211,7.295938579855774,Août,Sèche,Bellamya capillata,2.122261538862764,6.233822317345996,6.815420667779341,3.828641396489095,1.791759469228055,2.0104933120535646,1.128171090909654,Moyenne,Modérées,Sableux,1.6094379124341003,1.791759469228055,3.7376696182833684
Centre Pallotin de Génézareth,0.7021867007113446,3.4068764916131298,7.2947848249346166,Juillet,Sèche,Bulinus forskalii,2.1077860146889784,6.340888264332522,6.967061384879544,4.354141431184346,1.791759469228055,0.7943490610689127,1.2584609896100056,Faible,Modérées,Vaseux,1.0986122886681098,2.4336133554004498,4.454347296253507
Mawe Hai,0.712831173368352,3.4065718134956104,7.29776828253138,Novembre,Pluvieuse,Biomphalaria pfeifferi,2.162172939277301,6.1433268964172285,6.7156257811970965,4.309455941839047,0.8228587870816025,2.0680013515372804,1.2029723039923526,Faible,Absentes,Sableux,3.713572066704308,2.8678989020441064,4.762173934797756
Centre Pallotin de Génézareth,0.7021867007113446,3.4068764916131298,7.292677485858972,Juin,Sèche,Biomphalaria pfeifferi,2.169053700369523,6.369387152209746,6.999878567857943,3.9684033388642534,0.7742662318447373,1.596150018107165,0.9707789171582248,Moyenne,Modérées,Rocheux,3.091042453358316,2.6741486494265287,4.624972813284271
Marché de Kituku,0.706056495634798,3.4067753292803804,7.297971376327562,Août,Sèche,Melanoides tuberculata,2.194999882314108,6.181464879828938,6.760414691083428,3.7819143200811256,0.4193680132771558,0.5855619698800079,1.2178757094949273,Moyenne,Modérées,Vaseux,1.6094379124341003,1.791759469228055,4.663439094112067
Le chalet,0.6966076860980273,3.407960195532211,7.292677485858972,Octobre,Pluvieuse,Ceratophallus natalensis,2.1102132003465894,6.304265970352727,6.8509732648831525,4.487512142519859,0.5235443961737654,0.5567545556543905,0.1988508587451652,Faible,Modérées,Rocheux,1.3862943611198906,1.791759469228055,5.236441962829949
Le chalet,0.6966076860980273,3.407960195532211,7.295735072749282,Juin,Sèche,Gyraulus costulatus,2.1210632163706555,5.903998521326706,6.495718625490934,4.356708826689592,0.44018854416655,0.9891693772867276,1.0818051703517284,Faible,Modérées,Sableux,1.3862943611198906,1.791759469228055,4.663439094112067
Plage du Peuple,0.6987658661412391,3.407702941213177,7.28248622772044,Août,Sèche,Biomphalaria pfeifferi,2.0794415416798357,6.200306313711332,6.763422908092217,4.3489867805956814,0.34500713907105035,2.079566533867987,1.1314021114911006,Faible,Modérées,Sableux,3.9512437185814275,2.8678989020441064,4.700480365792417
Plage du Peuple,0.6987658661412391,3.407702941213177,7.288107686275226,Août,Sèche,Bulinus forskalii,2.075684492802124,5.719327685991663,6.309190740908139,4.290459441148391,0.4414755456311975,1.250188228122899,1.1249295969854831,Forte,Modérées,Vaseux,2.0794415416798357,2.2512917986064953,4.700480365792417
Mawe Hai,0.712831173368352,3.4065718134956104,7.302294246956748,Novembre,Pluvieuse,Biomphalaria pfeifferi,2.2278615467981093,5.785669634128385,6.401751345495359,4.3067641501733345,1.5203880956005893,1.2095571826198366,0.3074846997479606,Forte,Modérées,Rocheux,2.8903717578961645,2.5877640352277083,4.762173934797756
Marché de Kituku,0.706056495634798,3.4067753292803804,7.2955993783328985,Octobre,Pluvieuse,Lymnaea natalensis,2.057962510002712,6.0739657686197255,6.69999282970623,4.61512051684126,0.975314072323616,1.132369385466243,1.2612978709452054,Moyenne,Abondantes,Vaseux,3.332204510175204,3.1570004211501135,4.663439094112067
Mawe Hai,0.712831173368352,3.4065718134956104,7.299662222491451,Novembre,Pluvieuse,Lymnaea natalensis,2.21046980408624,6.0910836121366945,6.668355305148404,4.320151230955794,0.7724203614544531,2.0187622308679853,0.2151113796169455,Moyenne,Absentes,Sableux,2.4849066497880004,2.3513752571634776,4.762173934797756
Le chalet,0.6966076860980273,3.407960195532211,7.295531524219217,Juin,Sèche,Lymnaea natalensis,2.201659174404085,6.4256790685021326,7.004700485038616,4.312140507209715,0.8556911097452254,1.7199053654600713,1.1085626195212777,Forte,Modérées,Vaseux,1.791759469228055,1.824549292051046,4.663439094112067
Mawe Hai,0.712831173368352,3.4065718134956104,7.302765929186442,Septembre,Pluvieuse,Bellamya capillata,2.180417459019838,6.108135853911675,6.646390514847729,4.235554730773624,1.791759469228055,1.6737264023164622,1.235471471385307,Moyenne,Absentes,Rocheux,2.3978952727983707,1.791759469228055,4.718498871295094
Centre Pallotin de Génézareth,0.7021867007113446,3.4068764916131298,7.295531524219217,Août,Sèche,Biomphalaria pfeifferi,2.211565694606877,6.044056997227153,6.617135562543013,4.146304301152812,1.1863178690872151,1.3384162808754267,0.9858167945227653,Moyenne,Modérées,Sableux,2.0794415416798357,2.4932054526026954,4.418840607796598
Port Bisengimana,0.6931471805599453,3.408528675268409,7.294581082871363,Novembre,Pluvieuse,Biomphalaria pfeifferi,2.2407096892759584,6.298397624151875,6.88356504018092,4.400603020246817,0.765932850285593,0.9700210542951229,1.0402767116551463,Faible,Abondantes,Vaseux,3.332204510175204,3.3032169733019514,4.990432586778736
Plage du Peuple,0.6987658661412391,3.407702941213177,7.285232350550133,Septembre,Pluvieuse,Melanoides tuberculata,2.131796772013764,6.343353054312754,6.942253319389704,4.133565275375382,0.9928813340358676,0.8932267922756034,1.0152306797290584,Forte,Absentes,Sableux,2.4849066497880004,1.791759469228055,4.2626798770413155
Mawe Hai,0.712831173368352,3.4065718134956104,7.298512758218027,Septembre,Pluvieuse,Biomphalaria pfeifferi,2.1041341542702074,6.155919102073512,6.742880635791903,3.9684033388642534,1.6557488152973507,0.9042181506398859,1.3029127521808397,Moyenne,Modérées,Rocheux,2.6390573296152584,2.954910279033736,4.718498871295094
Plage du Peuple,0.6987658661412391,3.407702941213177,7.287902579106012,Août,Sèche,Biomphalaria pfeifferi,2.211565694606877,5.959715848793402,6.485093146045451,4.177459468932607,0.6254035284734257,0.3920420877760237,0.8241754429663494,Moyenne,Abondantes,Vaseux,2.5649493574615367,2.517696472610991,4.700480365792417
Marché de Kituku,0.706056495634798,3.4067753292803804,7.293969607498164,Novembre,Pluvieuse,Lymnaea natalensis,2.1552445050953364,6.012491914300058,6.594823772276905,3.885679030088544,1.541587245525926,1.1187416599632753,1.2149127443642704,Forte,Abondantes,Vaseux,3.1354942159291497,3.091042453358316,4.330733340286331
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.289337446626969,Août,Sèche,Lymnaea natalensis,2.2407096892759584,6.028760331851679,6.5869988988009265,4.334672938290411,1.1167795926235586,1.8056623743970464,1.2864740258376797,Faible,Absentes,Rocheux,2.8903717578961645,1.791759469228055,4.859812404361672
Port Bisengimana,0.6931471805599453,3.408528675268409,7.295192184570911,Octobre,Pluvieuse,Lymnaea natalensis,2.135349173618132,6.020052003959894,6.576190978713507,4.472780997942346,0.9254486696589207,0.9696419073711496,1.2119409739751128,Moyenne,Absentes,Sableux,2.5649493574615367,3.0204248861443626,5.056245805348308
Port Bisengimana,0.6931471805599453,3.408528675268409,7.287287005063797,Novembre,Pluvieuse,Biomphalaria pfeifferi,2.145931282948669,6.063552623502236,6.661471035226285,4.186619838331271,0.37500590062345585,0.4498009219282161,0.8020015854720274,Forte,Abondantes,Vaseux,3.044522437723423,3.2228678461377385,4.990432586778736
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.297091005160418,Novembre,Pluvieuse,Melanoides tuberculata,2.2407096892759584,6.069813513518959,6.673677162615148,4.1713056033582285,1.315066851831523,1.6413241012964221,1.308332819650179,Moyenne,Absentes,Sableux,1.791759469228055,1.791759469228055,4.844187086458591
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.300135147541646,Juillet,Sèche,Bulinus tropicus,2.231089091288976,6.186620061882023,6.788859124038281,4.508659285607248,0.9368773654825434,1.50318811259139,0.8501509293696101,Forte,Abondantes,Vaseux,1.3862943611198906,1.791759469228055,4.74493212836325
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.290429298789486,Août,Sèche,Gyraulus costulatus,2.138889000323256,6.133398042996649,6.70857236511277,4.613138355637268,1.1082325320451003,1.2504746379773557,1.2556160374777743,Moyenne,Modérées,Sableux,1.6094379124341003,1.791759469228055,4.859812404361672
Plage du Peuple,0.6987658661412391,3.407702941213177,7.28858610613194,Juin,Sèche,Bulinus forskalii,2.217027204632399,6.151242222800372,6.731018100482083,3.9569963710708773,0.8276780735175515,0.9635559243412692,1.1908875647772805,Faible,Absentes,Vaseux,0.6931471805599453,2.388762789235098,4.23410650459726
Le chalet,0.6966076860980273,3.407960195532211,7.285506548522785,Août,Sèche,Melanoides tuberculata,2.1471001901536506,6.028760331851679,6.5839623195179975,3.6027767550605247,1.4243124283074113,0.795252403497099,1.3164082336557241,Moyenne,Absentes,Sableux,1.3862943611198906,1.791759469228055,3.7376696182833684
Le chalet,0.6966076860980273,3.407960195532211,7.293425759762122,Août,Sèche,Biomphalaria pfeifferi,2.2407096892759584,6.210800860079238,6.788408521349571,4.679349584162343,1.791759469228055,1.4146388341290332,0.3001045924503381,Faible,Modérées,Sableux,1.9459101490553132,2.151762203259462,3.7376696182833684
Port Bisengimana,0.6931471805599453,3.408528675268409,7.298512758218027,Août,Sèche,Ceratophallus natalensis,2.217027204632399,5.987456525710443,6.52649485957079,4.215086179918229,0.9991602096964497,0.6637183698691331,0.598836501088704,Faible,Modérées,Sableux,1.3862943611198906,1.8718021769015913,4.248495242049359
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.291724326745414,Août,Sèche,Bulinus tropicus,2.1938856760707046,5.828651456702071,6.454569434662561,4.447346100794524,1.6052290676600456,0.6376344706296866,0.6981347220709844,Moyenne,Abondantes,Vaseux,1.9459101490553132,1.791759469228055,4.859812404361672
Plage du Peuple,0.6987658661412391,3.407702941213177,7.287355420895247,Juin,Sèche,Bulinus tropicus,2.190535589185423,5.76456394691606,6.277395086520957,4.4796069630127455,0.4330802751411378,0.511625303936555,0.5481214085096876,Forte,Modérées,Vaseux,1.3862943611198906,2.341805806147327,4.23410650459726
Port Bisengimana,0.6931471805599453,3.408528675268409,7.296819965722521,Septembre,Pluvieuse,Bellamya capillata,2.1482677326096886,6.122054116811584,6.6806037062703885,4.091005660956586,1.791759469228055,1.0039352417262015,1.2892326482767593,Faible,Absentes,Vaseux,1.6094379124341003,2.1400661634962708,4.672828834461906
Marché de Kituku,0.706056495634798,3.4067753292803804,7.291928651622679,Juillet,Sèche,Ceratophallus natalensis,2.149433913499871,6.065179584930263,6.660959199002699,4.200204952921578,1.3612329305245194,1.5000693753787353,0.23111172096338664,Faible,Modérées,Sableux,1.3862943611198906,2.2082744135228043,4.543294782270004
Marché de Kituku,0.706056495634798,3.4067753292803804,7.29206484501751,Juillet,Sèche,Gyraulus costulatus,2.201659174404085,6.050912005751402,6.643138479461352,4.3134800921387715,0.3947411447451887,1.8564542281598664,1.2556160374777743,Forte,Modérées,Sableux,0.6931471805599453,1.8082887711792655,4.543294782270004
Mawe Hai,0.712831173368352,3.4065718134956104,7.303641320643307,Septembre,Pluvieuse,Lymnaea natalensis,2.188295946591918,6.160574209929706,6.7227501245589805,4.553876891600541,0.6986321107905149,0.5417427264007122,1.1118575154181303,Faible,Abondantes,Rocheux,1.3862943611198906,2.3513752571634776,4.718498871295094
Marché de Kituku,0.706056495634798,3.4067753292803804,7.293833673290111,Octobre,Pluvieuse,Melanoides tuberculata,2.2407096892759584,6.113018242660559,6.728150029682411,4.398146016553765,1.6913864950812676,1.406587064387653,1.0296194171811581,Faible,Modérées,Vaseux,0.6931471805599453,1.8082887711792655,4.663439094112067
Marché de Kituku,0.706056495634798,3.4067753292803804,7.298106749280254,Novembre,Pluvieuse,Melanoides tuberculata,2.1424163408412245,6.280208555506141,6.893554929580995,4.141546163706395,0.7719583609842351,0.7687183674070194,0.2468600779315258,Faible,Absentes,Sableux,2.4849066497880004,1.791759469228055,4.330733340286331
Le chalet,0.6966076860980273,3.407960195532211,7.288927694521257,Septembre,Pluvieuse,Bellamya capillata,2.1587147225743437,5.897977704014518,6.542039590391256,4.30406509320417,1.791759469228055,1.045563067578294,1.3001916620664788,Moyenne,Abondantes,Rocheux,0.6931471805599453,1.791759469228055,4.499809670330265
Marché de Kituku,0.706056495634798,3.4067753292803804,7.294716915525742,Septembre,Pluvieuse,Ceratophallus natalensis,2.188295946591918,6.050676406739828,6.5890640196560115,4.067315889834181,0.39001300354924273,1.161587087829498,1.172482137234565,Faible,Absentes,Rocheux,1.0986122886681098,2.653241964607215,4.2626798770413155
Plage du Peuple,0.6987658661412391,3.407702941213177,7.289473993360301,Août,Sèche,Melanoides tuberculata,2.2321626286975,5.995954452380834,6.512339506726974,4.516338972281476,1.066777565148091,2.1972245773362196,1.252762968495368,Forte,Absentes,Vaseux,1.6094379124341003,1.791759469228055,4.700480365792417
Plage du Peuple,0.6987658661412391,3.407702941213177,7.290292882446597,Septembre,Pluvieuse,Bulinus forskalii,2.2407096892759584,6.234606784928881,6.800726706223614,4.122283930911342,1.791759469228055,1.0976117883345262,1.3056264580524357,Faible,Absentes,Vaseux,1.791759469228055,3.1612467120315646,4.2626798770413155
Marché de Kituku,0.706056495634798,3.4067753292803804,7.291383692481127,Juin,Sèche,Bulinus forskalii,2.2213750375685026,6.059356813150901,6.634896135421995,4.45318382899021,0.7260982806996312,1.4942515026249827,0.3506568716131694,Moyenne,Modérées,Vaseux,2.0794415416798357,2.714694743820879,4.174387269895637
Centre Pallotin de Génézareth,0.7021867007113446,3.4068764916131298,7.294649001504866,Septembre,Pluvieuse,Bellamya capillata,2.2407096892759584,6.409516770721618,6.9829555115450725,4.364371699435161,0.609221945622184,1.554136596649011,0.4637340162321401,Forte,Modérées,Vaseux,2.1972245773362196,1.791759469228055,4.51085950651685
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.288312751384116,Juin,Sèche,Lymnaea natalensis,2.2332350148592526,6.201117508239693,6.794250578185316,4.286341384539473,1.791759469228055,1.2113455586553492,0.6259384308664953,Moyenne,Absentes,Sableux,1.791759469228055,1.791759469228055,4.6913478822291435
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.2970232521877305,Juillet,Sèche,Lymnaea natalensis,2.217027204632399,5.969985515430857,6.556210012863403,4.252771798816619,1.1391142319774397,0.9305880365749795,1.269760544863939,Forte,Absentes,Rocheux,3.6375861597263857,1.791759469228055,4.74493212836325
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.294581082871363,Septembre,Pluvieuse,Bulinus tropicus,2.150598735996164,6.3466884387794,6.973355736066086,4.175924549214524,0.9524297784900283,0.7114781372446687,1.2383742310432684,Moyenne,Abondantes,Rocheux,1.3862943611198906,2.4336133554004498,3.7376696182833684
Centre Pallotin de Génézareth,0.7021867007113446,3.4068764916131298,7.296752194382994,Juin,Sèche,Melanoides tuberculata,2.2407096892759584,5.952723718791551,6.556778356158042,4.034240638152395,1.268917492966318,0.6146449524049877,1.3762440252663892,Forte,Abondantes,Sableux,2.0794415416798357,1.791759469228055,4.624972813284271
Le chalet,0.6966076860980273,3.407960195532211,7.293629737325297,Juin,Sèche,Melanoides tuberculata,2.122261538862764,5.831589179143857,6.463809184055691,3.970291913552122,1.010873374360103,0.914288729203482,0.4762341789963716,Moyenne,Abondantes,Rocheux,2.70805020110221,1.791759469228055,4.663439094112067
Marché de Kituku,0.706056495634798,3.4067753292803804,7.300877863891915,Juin,Sèche,Bulinus tropicus,2.138889000323256,5.918087077303206,6.480351263355219,4.26549281841793,1.2988283353386147,1.3807791804317806,0.9082585601768908,Forte,Modérées,Vaseux,3.091042453358316,2.91235066461494,4.174387269895637
Port Bisengimana,0.6931471805599453,3.408528675268409,7.291792439676681,Juillet,Sèche,Ceratophallus natalensis,2.162172939277301,6.1070228877422545,6.729943537666011,4.370712874773608,1.791759469228055,1.2773161985501456,1.3217558399823195,Moyenne,Modérées,Sableux,2.3978952727983707,2.128231705849268,4.68213122712422
Le chalet,0.6966076860980273,3.407960195532211,7.294445231763968,Novembre,Pluvieuse,Melanoides tuberculata,2.203869120054888,5.722604228896789,6.354891643869248,4.231203744939298,0.2844267797311083,1.264126727145683,1.0508216248317612,Faible,Abondantes,Sableux,2.6390573296152584,1.791759469228055,3.58351893845611
Marché de Kituku,0.706056495634798,3.4067753292803804,7.2993918791537675,Novembre,Pluvieuse,Melanoides tuberculata,2.066862759472976,6.0239317372454835,6.573261084744552,4.665324108807838,0.7811580578826586,1.069526707773013,1.2809338454620642,Forte,Abondantes,Rocheux,2.9444389791664403,1.791759469228055,4.330733340286331
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.283722916301278,Septembre,Pluvieuse,Biomphalaria pfeifferi,2.0906287310704004,5.612397912854348,6.2373475853916815,4.056988775678332,0.9951019122984449,2.1657339102448487,1.091923300517313,Faible,Modérées,Sableux,2.0794415416798357,2.4932054526026954,3.7376696182833684
Plage du Peuple,0.6987658661412391,3.407702941213177,7.288176045984041,Juillet,Sèche,Melanoides tuberculata,2.1258479144939915,6.190110466821792,6.837761907161602,3.828641396489095,1.4802399739624186,0.7409845099741055,1.332366019094335,Moyenne,Absentes,Rocheux,1.791759469228055,1.791759469228055,4.2626798770413155
Centre Pallotin de Génézareth,0.7021867007113446,3.4068764916131298,7.298445101508147,Octobre,Pluvieuse,Biomphalaria pfeifferi,2.2407096892759584,6.073044534100405,6.652992053287465,4.128745988939433,0.9624106674877082,0.46624658036802324,1.2556160374777743,Faible,Abondantes,Rocheux,2.5649493574615367,2.9652730660692823,4.574710978503383
Le chalet,0.6966076860980273,3.407960195532211,7.292813577312639,Septembre,Pluvieuse,Biomphalaria pfeifferi,2.194999882314108,6.293049524728755,6.911049845931567,4.027135812528651,1.2270055034365086,2.1972245773362196,0.7030975114131134,Faible,Absentes,Rocheux,3.044522437723423,2.9496883350525844,4.499809670330265
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.291792439676681,Juillet,Sèche,Bellamya capillata,2.194999882314108,6.2882302382928055,6.873267348523464,4.237000862623624,1.791759469228055,0.4285303810391605,1.1085626195212777,Faible,Absentes,Vaseux,1.791759469228055,1.791759469228055,4.74493212836325
